,Open,High,Low,Close,Adj Close,Volume
2025-06-11,391.23,392.77,380.5,387.11,387.11,6812152
2025-06-12,378.4,391.22,373.9825,379.76,379.76,9423919
2025-06-13,375.225,383.56,370.62,382.87,382.87,9378928
2025-06-16,387.61,388.15,377.4,382.25,382.25,8105204
2025-06-17,375.255,378.48,367.0001,375.18,375.18,11218473
2025-06-18,371.43,374.9099,367.42,369.03,369.03,9200504
2025-06-20,372.75,376.1,365.11,369.7,369.7,12821792
2025-06-23,362.48,370.3,358.8,367.18,367.18,10614707
2025-06-24,373.68,384.3559,371.0,377.02,377.02,10174889
2025-06-25,384.83,389.49,379.31,388.67,388.67,10606562
2025-06-26,386.35,392.67,384.15,386.44,386.44,10202328
2025-06-27,385.225,397.99,383.41,383.88,383.88,18694416
2025-06-30,389.78,407.3901,384.25,404.23,404.23,13752875
2025-07-01,395.7,397.8746,372.91,373.3,373.3,17289648
2025-07-02,383.34,405.2986,379.88,402.28,402.28,17454404
2025-07-03,400.87,414.6,400.4,403.99,403.99,10013902
2025-07-07,402.635,405.64,395.2,395.67,395.67,8848175
2025-07-08,399.692,402.1999,393.21,396.94,396.94,7022739
2025-07-09,401.6,416.34,395.95,415.41,415.41,13065370
2025-07-10,412.565,422.3999,411.2,421.74,421.74,13208563
2025-07-11,430.54,438.84,423.5,434.58,434.58,18448533
2025-07-14,447.2,456.45,440.65,451.02,451.02,17952539
2025-07-15,445.22,456.66,441.0186,442.31,442.31,14315363
2025-07-16,448.31,457.22,445.56,455.9,455.9,10575446
2025-07-17,451.675,456.0,446.58,451.34,451.34,8901408
2025-07-18,451.72,454.33,422.22,423.22,423.22,19105360
2025-07-21,430.1,437.0,425.02,426.28,426.28,9984473
2025-07-22,428.845,433.94,413.6,426.4,426.4,10524157
2025-07-23,422.83,424.0,406.1001,412.67,412.67,12990043
2025-07-24,414.58,419.95,406.17,414.92,414.92,7407323
2025-07-25,405.67,410.95,402.2,405.89,405.89,8380224
